,arxiv_ids,titles,arxiv_links,pdf_link,authors,abstract,date,tag,doi
0,2102.04004,WOMBAT: A fully Bayesian global flux-inversion framework,https://arxiv.org/abs/2102.04004,https://arxiv.org/pdf/2102.04004,"Andrew Zammit-Mangion, Michael Bertolacci, Jenny Fisher, Ann Stavert, Matthew L. Rigby, Yi Cao, Noel Cressie","WOMBAT (the WOllongong Methodology for Bayesian Assimilation of Trace-gases) is a fully Bayesian hierarchical statistical framework for flux inversion of trace gases from flask, in situ, and remotely sensed data. WOMBAT extends the conventional Bayesian-synthesis framework through the consideration of a correlated error term, the capacity for online bias correction, and the provision of uncertainty quantification on all unknowns that appear in the Bayesian statistical model. We show, in an observing system simulation experiment (OSSE), that these extensions are crucial when the data are indeed biased and have errors that are correlated. Using the GEOS-Chem atmospheric transport model, we show that WOMBAT is able to obtain posterior means and uncertainties on non-fossil-fuel CO$_2$ fluxes from Orbiting Carbon Observatory-2 (OCO-2) data that are comparable to those from the Model Intercomparison Project (MIP) reported in Crowell et al. (2019, Atmos. Chem. Phys., vol. 19). We also find that our predictions of out-of-sample retrievals from the Total Column Carbon Observing Network are, for the most part, more accurate than those made by the MIP participants. Subsequent versions of the OCO-2 datasets will be ingested into WOMBAT as they become available."," 8 February, 2021",stat.APastro-ph.IM,None
1,2012.12677,The SOXS scheduler for remote operation at LaSilla:Concept and design,https://arxiv.org/abs/2012.12677,https://arxiv.org/pdf/2012.12677,"Marco Landoni, Dave Young, Laurent Marty, Laura Asquini, Stephen J. Smartt, Alberto Trombetta, Sergio Campana, Riccardo Claudi, Pietro Schipani, Matteo Aliverti, Andrea Baruffolo, Sagi Ben Ami, Federico Biondi, Giulio Capasso, Rosario Cosentino, Francesco D'Alessio, Paolo D'Avanzo, Ofir Hershko, Hanindyo Kuncarayakti, Matteo Munari, Giuliano Pignata, Adam Rubin, Salvatore Scuderi, Fabrizio Vitali, Jani Achren, et al. (24 additional authors not shown)","In this paper we present the SOXS Scheduler, a web-based application aimed at optimising remote observations at the NTT-ESO in the context of scientific topics of both the SOXS Consortium and regular ESO proposals.This paper will give details of how detected transients from various surveys are inserted, prioritised, and selected for observations with SOXS at the NTT while keeping the correct sharing between GTO time (for the SOXSConsortium) and the regularly approved observing time from ESO proposals. For the 5-years of operation ofSOXS this vital piece of software will provide a night-by-night dynamical schedule, allowing the user to face rapid changes during the operations that might come from varying weather conditions or frequent target of opportunity (ToO) observations that require a rapid response. The scheduler is developed with high available and scalable architecture in mind and it implements the state-of-the-art technologies for API Restful application like Docker Containers, API Gateway, and Python-based Flask frameworks."," 8 February, 2021",stat.APastro-ph.IM,None
2,2012.08467,Organised Randoms: learning and correcting for systematic galaxy clustering patterns in KiDS using self-organising maps,https://arxiv.org/abs/2012.08467,https://arxiv.org/pdf/2012.08467,"Harry Johnston, Angus H. Wright, Benjamin Joachimi, Maciej Bilicki, Nora Elisa Chisari, Andrej Dvornik, Thomas Erben, Benjamin Giblin, Catherine Heymans, Hendrik Hildebrandt, Henk Hoekstra, Shahab Joudaki, Mohammadjavad Vakili","We present a new method for the mitigation of observational systematic effects in angular galaxy clustering via corrective random galaxy catalogues. Real and synthetic galaxy data, from the Kilo Degree Survey's (KiDS) 4$^{\rm{th}}$ Data Release (KiDS-$1000$) and the Full-sky Lognormal Astro-fields Simulation Kit (FLASK) package respectively, are used to train self-organising maps (SOMs) to learn the multivariate relationships between observed galaxy number density and up to six systematic-tracer variables, including seeing, Galactic dust extinction, and Galactic stellar density. We then create `organised' randoms, i.e. random galaxy catalogues with spatially variable number densities, mimicking the learnt systematic density modes in the data. Using realistically biased mock data, we show that these organised randoms consistently subtract spurious density modes from the two-point angular correlation function $w(\vartheta)$, correcting biases of up to $12σ$ in the mean clustering amplitude to as low as $0.1σ$, over a high signal-to-noise angular range of 7-100 arcmin. Their performance is also validated for angular clustering cross-correlations in a bright, flux-limited subset of KiDS-$1000$, comparing against an analogous sample constructed from highly-complete spectroscopic redshift data. Each organised random catalogue object is a `clone' carrying the properties of a real galaxy, and is distributed throughout the survey footprint according to the parent galaxy's position in systematics-space. Thus, sub-sample randoms are readily derived from a single master random catalogue via the same selection as applied to the real galaxies. Our method is expected to improve in performance with increased survey area, galaxy number density, and systematic contamination, making organised randoms extremely promising for current and future clustering analyses of faint samples."," 8 February, 2021",stat.APastro-ph.IM,None
3,2011.09770,Freecyto: Quantized Flow Cytometry Analysis for the Web,https://arxiv.org/abs/2011.09770,https://arxiv.org/pdf/2011.09770,"Nathan Wong, Daehwan Kim, Zachery Robinson, Connie Huang, Irina M. Conboy","Flow cytometry (FCM) is an analytic technique that is capable of detecting and recording the emission of fluorescence and light scattering of cells or particles (that are collectively called ""events"") in a population. A typical FCM experiment can produce a large array of data making the analysis computationally intensive. Current FCM data analysis platforms (FlowJo, etc.), while very useful, do not allow interactive data processing online due to the data size limitations. Here we report a more effective way to analyze FCM data. Freecyto is a free, easy-to-learn, Python-flask-based web application that uses a weighted k-means clustering algorithm to facilitate the interactive analysis of flow cytometry data. A key limitation of web browsers is their inability to interactively display large amounts of data. Freecyto addresses this bottleneck through the use of the k-means algorithm to quantize the data, allowing the user to access a representative set of data points for interactive visualization of complex datasets. Moreover, Freecyto enables the interactive analyses of large complex datasets while preserving the standard FCM visualization features, such as the generation of scatterplots (dotplots), histograms, heatmaps, boxplots, as well as a SQL-based sub-population gating feature. We also show that Freecyto can be applied to the analysis of various experimental setups that frequently require the use of FCM. Finally, we demonstrate that the data accuracy is preserved when Freecyto is compared to conventional FCM software."," 8 February, 2021",stat.APastro-ph.IM,None
4,2011.08185,Assistive Diagnostic Tool for Brain Tumor Detection using Computer Vision,https://arxiv.org/abs/2011.08185,https://arxiv.org/pdf/2011.08185,Sahithi Ankireddy,"Today, over 700,000 people are living with brain tumors in the United States. Brain tumors can spread very quickly to other parts of the brain and the spinal cord unless necessary preventive action is taken. Thus, the survival rate for this disease is less than 40% for both men and women. A conclusive and early diagnosis of a brain tumor could be the difference between life and death for some. However, brain tumor detection and segmentation are tedious and time-consuming processes as it can only be done by radiologists and clinical experts. The use of computer vision techniques, such as Mask R Convolutional Neural Network (Mask R CNN), to detect and segment brain tumors can mitigate the possibility of human error while increasing prediction accuracy rates. The goal of this project is to create an assistive diagnostics tool for brain tumor detection and segmentation. Transfer learning was used with the Mask R CNN, and necessary parameters were accordingly altered, as a starting point. The model was trained with 20 epochs and later tested. The prediction segmentation matched 90% with the ground truth. This suggests that the model was able to perform at a high level. Once the model was finalized, the application running on Flask was created. The application will serve as a tool for medical professionals. It allows doctors to upload patient brain tumor MRI images in order to receive immediate results on the diagnosis and segmentation for each patient."," 8 February, 2021",stat.APastro-ph.IM,None
5,2010.09687,A Demonstration of Smart Doorbell Design Using Federated Deep Learning,https://arxiv.org/abs/2010.09687,https://arxiv.org/pdf/2010.09687,"Vatsal Patel, Sarth Kanani, Tapan Pathak, Pankesh Patel, Muhammad Intizar Ali, John Breslin","Smart doorbells have been playing an important role in protecting our modern homes. Existing approaches of sending video streams to a centralized server (or Cloud) for video analytics have been facing many challenges such as latency, bandwidth cost and more importantly users' privacy concerns. To address these challenges, this paper showcases the ability of an intelligent smart doorbell based on Federated Deep Learning, which can deploy and manage video analytics applications such as a smart doorbell across Edge and Cloud resources. This platform can scale, work with multiple devices, seamlessly manage online orchestration of the application components. The proposed framework is implemented using state-of-the-art technology. We implement the Federated Server using the Flask framework, containerized using Nginx and Gunicorn, which is deployed on AWS EC2 and AWS Serverless architecture."," 8 February, 2021",stat.APastro-ph.IM,None
6,2007.12998,A Novel Approach to the Diagnosis of Heart Disease using Machine Learning and Deep Neural Networks,https://arxiv.org/abs/2007.12998,https://arxiv.org/pdf/2007.12998,Sahithi Ankireddy,"Heart disease is the leading cause of death worldwide. Currently, 33% of cases are misdiagnosed, and approximately half of myocardial infarctions occur in people who are not predicted to be at risk. The use of Artificial Intelligence could reduce the chance of error, leading to possible earlier diagnoses, which could be the difference between life and death for some. The objective of this project was to develop an application for assisted heart disease diagnosis using Machine Learning (ML) and Deep Neural Network (DNN) algorithms. The dataset was provided from the Cleveland Clinic Foundation, and the models were built based on various optimization and hyper parametrization techniques including a Grid Search algorithm. The application, running on Flask, and utilizing Bootstrap was developed using the DNN, as it performed higher than the Random Forest ML model with a total accuracy rate of 92%."," 8 February, 2021",stat.APastro-ph.IM,None
7,2006.14419,A Novel and Reliable Deep Learning Web-Based Tool to Detect COVID-19 Infection from Chest CT-Scan,https://arxiv.org/abs/2006.14419,https://arxiv.org/pdf/2006.14419,"Abdolkarim Saeedi, Maryam Saeedi, Arash Maghsoudi","The corona virus is already spread around the world in many countries, and it has taken many lives. Furthermore, the world health organization (WHO) has announced that COVID-19 has reached the global epidemic stage. Early and reliable diagnosis using chest CT-scan can assist medical specialists in vital circumstances. In this work, we introduce a computer aided diagnosis (CAD) web service to detect COVID- 19 online. One of the largest public chest CT-scan databases, containing 746 participants was used in this experiment. A number of well-known deep neural network architectures consisting of ResNet, Inception and MobileNet were inspected to find the most efficient model for the hybrid system. A combination of the Densely connected convolutional network (DenseNet) in order to reduce image dimensions and Nu-SVM as an anti-overfitting bottleneck was chosen to distinguish between COVID-19 and healthy controls. The proposed methodology achieved 90.80% recall, 89.76% precision and 90.61% accuracy. The method also yields an AUC of 95.05%. Ultimately a flask web service is made public through ngrok using the trained models to provide a RESTful COVID-19 detector, which takes only 39 milliseconds to process one image. The source code is also available at https://github.com/KiLJ4EdeN/COVID_WEB. Based on the findings, it can be inferred that it is feasible to use the proposed technique as an automated tool for diagnosis of COVID-19."," 8 February, 2021",stat.APastro-ph.IM,None
8,1912.07304,Web application for galaxy-targeted follow-up of electromagnetic counterparts to gravitational wave sources,https://arxiv.org/abs/1912.07304,https://arxiv.org/pdf/1912.07304,"L. Salmon, L. Hanlon, R. M. Jeffrey, A. Martin-Carrillo","The Laser Interferometer Gravitational Wave Observatory (LIGO) and Virgo Collaboration's Observing Run 3 has demanded the development of widely-applicable tools for gravitational wave follow-up. These tools must address the main challenges of the multi-messenger era, namely covering large localisation regions and quickly identifying decaying transients. To address these challenges, we present a public web interface to assist astronomers in conducting galaxy-targeted follow-up of gravitational wave events by offering a fast and public list of targets post-gravitational wave trigger. After a gravitational wave trigger, the back-end galaxy retrieval algorithm identifies and scores galaxies based on the LIGO and Virgo computed probabilities and properties of the galaxies taken from the Galaxy List for the Advanced Detector Era (GLADE) V2 galaxy catalogue. Within minutes, the user can retrieve, download, and limit ranked galaxy lists from the web application. The algorithm and website have been tested on past gravitational wave events, and execution times have been analysed. The algorithm is being triggered automatically during Observing Run 3 and its features will be extended if needed. The web application was developed using the Python based Flask web framework. The web application is freely available and publicly accessible at gwtool.watchertelescope.ie."," 8 February, 2021",stat.APastro-ph.IM,None
9,1910.07360,Conservation AI: Live Stream Analysis for the Detection of Endangered Species Using Convolutional Neural Networks and Drone Technology,https://arxiv.org/abs/1910.07360,https://arxiv.org/pdf/1910.07360,"C. Chalmers, P. Fergus, Serge Wich, Aday Curbelo Montanez","Many different species are adversely affected by poaching. In response to this escalating crisis, efforts to stop poaching using hidden cameras, drones and DNA tracking have been implemented with varying degrees of success. Limited resources, costs and logistical limitations are often the cause of most unsuccessful poaching interventions. The study presented in this paper outlines a flexible and interoperable framework for the automatic detection of animals and poaching activity to facilitate early intervention practices. Using a robust deep learning pipeline, a convolutional neural network is trained and implemented to detect rhinos and cars (considered an important tool in poaching for fast access and artefact transportation in natural habitats) in the study, that are found within live video streamed from drones Transfer learning with the Faster RCNN Resnet 101 is performed to train a custom model with 350 images of rhinos and 350 images of cars. Inference is performed using a frame sampling technique to address the required trade-off control precision and processing speed and maintain synchronisation with the live feed. Inference models are hosted on a web platform using flask web serving, OpenCV and TensorFlow 1.13. Video streams are transmitted from a DJI Mavic Pro 2 drone using the Real-Time Messaging Protocol (RMTP). The best trained Faster RCNN model achieved a mAP of 0.83 @IOU 0.50 and 0.69 @IOU 0.75 respectively. In comparison an SSD-mobilenetmodel trained under the same experimental conditions achieved a mAP of 0.55 @IOU .50 and 0.27 @IOU 0.75.The results demonstrate that using a FRCNN and off-the-shelf drones is a promising and scalable option for a range of conservation projects."," 8 February, 2021",stat.APastro-ph.IM,None
